scenario_id,commands,core_commits,author_actions,payload_bytes,journal_records,journal_bytes,mean_journal_durability_ms,mean_settlement_ms,mean_convergence_ms,mean_recovery_ms
"candidate-policy-boundaries",5,5,5,3596,0,2,1.367,5.64,1.08,""
"native-input-clipboard-drop-undo",9,9,9,7316,0,2,4.737,5.378,5.767,""
"delivery-order-http-first",1,1,1,694,0,2,2.9,4.5,0.8,""
"delivery-order-event-first",1,1,1,694,0,2,1.1,94.5,0.7,""
"duplicate-delivery-and-idempotency",1,1,1,691,0,2,0.8,5.2,0.7,""
"ack-loss-reconciliation",1,1,1,695,0,2,1,1.3,0.7,""
"sequence-gap",1,1,1,699,0,2,0.8,4.2,0.8,1.2
"replay-floor",1,1,1,699,0,2,2.9,5.2,0.8,1.7
"core-crash-before_commit",1,1,1,697,0,2,0.9,3.4,0.6,""
"core-crash-after_commit_before_response",1,1,1,697,0,2,3.2,2.5,0.8,""
"reload-after-journal-durable",1,1,1,676,0,2,"",13.6,0.7,""
"reload-binding-mismatch-preserves-draft",0,0,0,0,1,909,"","","",""
"reload-after-receipt-before-activity",0,1,1,0,0,2,"",3.9,1.2,""
"secondary-tab-takeover-stale-writer",1,1,1,669,1,1829,3.4,4,0.7,""
"typed-outcome-authoritative",1,1,1,706,0,2,3.3,3.1,0.8,""
"typed-outcome-proposal",1,0,0,701,1,1892,0.7,4.8,"",""
"typed-outcome-refused",1,0,0,700,1,1889,2.7,4.6,"",""
"typed-outcome-conflicted",1,0,0,703,1,1898,2.7,3,"",""
"typed-outcome-no_effect",1,0,0,702,1,1895,0.8,2.7,"",""
"chapter-switch-persistence",2,2,2,1399,0,2,0.65,3.9,1,""
"long-session-journal-growth",1,1,1,6079,0,2,3.134,103.8,1404.7,""
"synthetic-composition-boundary-only",1,1,1,704,0,2,3.7,3.2,0.7,""
